"Player	Team	Pos	Injury	Status	Est. Return"
"Fernando Abad	SF	P	Suspension	Suspension	Subscribers Only"
"Matt Adams	WAS	1B	Hip	Day-To-Day	Subscribers Only"
"Jo Adell	LAA	OF	Hamstring	7-Day IL	Subscribers Only"
"Adbert Alzolay	CHC	P	Side	7-Day IL	Subscribers Only"
"Tyler Anderson	COL	P	Knee	10-Day IL	Subscribers Only"
"Miguel Andujar	NYY	3B	Shoulder	10-Day IL	Subscribers Only"
"Rick Ankiel	FA	P	Elbow	Out	Subscribers Only"
"Yasel Antuna	WAS	SS	Elbow	7-Day IL	Subscribers Only"
"Shawn Armstrong	SEA	P	Oblique	10-Day IL	Subscribers Only"
"Randy Arozarena	STL	OF	Hand	Out	Subscribers Only"
"Alex Avila	ARI	C	Quadriceps	10-Day IL	Subscribers Only"
"John Axford	TOR	P	Elbow	Out	Subscribers Only"
"Michel Baez	SD	P	Shoulder	7-Day IL	Subscribers Only"
"Roldani Baldwin	BOS	C	Ankle	7-Day IL	Subscribers Only"
"Anthony Banda	TB	P	Elbow	60-Day IL	Subscribers Only"
"Tony Barnette	CHC	P	Shoulder	10-Day IL	Subscribers Only"
"Luis Alexander Basabe	CWS	OF	Hand	7-Day IL	Subscribers Only"
"Chris Bassitt	OAK	P	Lower Leg	10-Day IL	Subscribers Only"
"Antonio Bastardo	FA	P	Suspension	Out	Subscribers Only"
"Rafael Bautista	WAS	OF	Knee	7-Day IL	Subscribers Only"
"Gerson Bautista	SEA	P	Pectoral	10-Day IL	Subscribers Only"
"D.J. Baxendale	MIN	P	Ankle	7-Day IL	Subscribers Only"
"Tim Beckham	SEA	SS	Hamstring	Day-To-Day	Subscribers Only"
"Michael Beltre	CIN	OF	Undisclosed	Out	Subscribers Only"
"Anthony Bemboom	TB	C	Thumb	7-Day IL	Subscribers Only"
"Joaquin Benoit	FA	P	Forearm	Out	Subscribers Only"
"Dellin Betances	NYY	P	Shoulder	10-Day IL	Subscribers Only"
"Javier Betancourt	FA	SS	Elbow	Out	Subscribers Only"
"Phil Bickford	MIL	P	Undisclosed	Out	Subscribers Only"
"Clayton Blackburn	CIN	P	Elbow	Out	Subscribers Only"
"Aaron Blair	FA	P	Shoulder	Out	Subscribers Only"
"Alex Blandino	CIN	2B	Knee	10-Day IL	Subscribers Only"
"Ryan Boldt	TB	OF	Undisclosed	7-Day IL	Subscribers Only"
"Ryan Borucki	TOR	P	Elbow	10-Day IL	Subscribers Only"
"Silvino Bracho	ARI	P	Elbow	60-Day IL	Subscribers Only"
"Clay Buchholz	TOR	P	Elbow	10-Day IL	Subscribers Only"
"Zack Burdi	CWS	P	Lat	7-Day IL	Subscribers Only"
"Jake Burger	CWS	3B	Achilles	7-Day IL	Subscribers Only"
"Brock Burke	TEX	P	Finger	7-Day IL	Subscribers Only"
"Matt Bush	TEX	P	Elbow	Out	Subscribers Only"
"Jamie Callahan	SF	P	Shoulder	Day-To-Day	Subscribers Only"
"Sam Carlson	SEA	P	Elbow	Out	Subscribers Only"
